#,config,g,E,Eth_eV,n,Zeff,Eth_nm
450,3s2.3p5.(2P*<1/2>).23s,3.0,15.90588,0.031226,23,1,39705.971333
451,3s2.3p5.(2P*<1/2>).24s,3.0,15.90867,0.028436,24,1,43601.782849
452,3s2.3p5.(2P*<1/2>).25s,3.0,15.91112,0.025986,25,1,47712.692360
453,3s2.3p5.(2P*<1/2>).26s,3.0,15.91325,0.023856,26,1,51972.829180
454,3s2.3p5.(2P*<1/2>).27s,3.0,15.91512,0.021986,27,1,56393.417155
455,3s2.3p5.(2P*<1/2>).28s,3.0,15.91679,0.020316,28,1,61029.120721
456,3s2.3p5.(2P*<1/2>).29s,3.0,15.91828,0.018826,29,1,65859.430856
457,3s2.3p5.(2P*<1/2>).30s,3.0,15.91962,0.017486,30,1,70906.540380
458,3s2.3p5.(2P*<1/2>).31s,3.0,15.92081,0.016296,31,1,76084.556937
459,3s2.3p5.(2P*<1/2>).32s,3.0,15.92189,0.015216,32,1,81485.029446
460,3s2.3p5.(2P*<1/2>).33s,3.0,15.92286,0.014246,33,1,87033.450680
461,3s2.3p5.(2P*<1/2>).34s,3.0,15.92375,0.013356,34,1,92833.256536
462,3s2.3p5.(2P*<1/2>).35s,3.0,15.92457,0.012536,35,1,98905.833183
463,3s2.3p5.(2P*<1/2>).36s,3.0,15.92529,0.011816,36,1,104932.807728
464,3s2.3p5.(2P*<1/2>).37s,3.0,15.92596,0.011146,37,1,111240.687728
465,3s2.3p5.(2P*<1/2>).38s,3.0,15.92658,0.010526,38,1,117793.222258
466,3s2.3p5.(2P*<1/2>).39s,3.0,15.92713,0.009976,39,1,124287.709019
467,3s2.3p5.(2P*<1/2>).40s,3.0,15.92768,0.009426,40,1,131540.126372
468,3s2.3p5.(2P*<1/2>).41s,3.0,15.92816,0.008946,41,1,138598.278069
469,3s2.3p5.(2P*<1/2>).42s,3.0,15.92858,0.008526,42,1,145426.115799
470,3s2.3p5.(2P*<1/2>).43s,3.0,15.92902,0.008086,43,1,153339.894520
471,3s2.3p5.(2P*<1/2>).44s,3.0,15.92942,0.007686,44,1,161320.548915
472,3s2.3p5.(2P*<1/2>).45s,3.0,15.92974,0.007366,45,1,168329.172222
473,3s2.3p5.(2P*<1/2>).46s,3.0,15.93008,0.007026,46,1,176475.391972
474,3s2.3p5.(2P*<1/2>).47s,3.0,15.93042,0.006686,47,1,185450.175502
475,3s2.3p5.(2P*<1/2>).48s,3.0,15.93068,0.006426,48,1,192954.096647
476,3s2.3p5.(2P*<1/2>).49s,3.0,15.93095,0.006156,49,1,201417.573053
477,3s2.3p5.(2P*<1/2>).50s,3.0,15.93121,0.005896,50,1,210300.256180
478,3s2.3p5.(2P*<1/2>).51s,3.0,15.93141,0.005696,51,1,217684.938906
